date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-09-07 23:59:37,JLRHeartGarbage,,0,1,1,"Don't talk about Africa. Talk about me getting sick. I'm an American, and I'm ""scared"" of Ebola. http://exm.nr/1lLJ0f1",,,,508766568793513984,https://twitter.com/JLRHeartGarbage/status/508766568793513984
2014-09-07 23:59:34,robinsnoticias,,0,0,0,"EE.UU Noticias: Ejército de EEUU ayudará a África a luchar contra el ébola http://ift.tt/1oW1uUU #InternacionalesNoticias",,,#InternacionalesNoticias,508766556877508608,https://twitter.com/robinsnoticias/status/508766556877508608
2014-09-07 23:58:11,aheartforafrica,,0,0,0,"#Anger mounts as #Ebola death toll tops 1,000 in #Liberia - CNBC Africa http://www.cnbcafrica.com/news/western-africa/2014/09/06/liberia-ebola-sirleaf/#.VAzxBwJMbQ0.twitter",,,#Anger #Ebola #Liberia,508766209790078976,https://twitter.com/aheartforafrica/status/508766209790078976
2014-09-07 23:56:45,ArtDLit,,0,0,1,"The redneck population is growing rapidly. I say we ship them off to Africa to get Ebola.",,,,508765848887365632,https://twitter.com/ArtDLit/status/508765848887365632
2014-09-07 23:55:05,CyG_Africa,,0,0,0,"Ebola : un vaccin expérimental validé par les essais sur des singes #NewsAd link http://CyG-NewsAgent.net/NewsAd.php?url=http://bit.ly/1qG8jhx",,,#NewsAd,508765430245097472,https://twitter.com/CyG_Africa/status/508765430245097472
2014-09-07 23:54:50,Miira_Chulitta,,0,0,0,"( #TeamYamita ) Obama envía medios militares a África para luchar contra el virus del ébola: O... http://bit.ly/1rr0JEZ Entra A eL Link",,,#TeamYamita,508765365833183232,https://twitter.com/Miira_Chulitta/status/508765365833183232
2014-09-07 23:54:39,weyy_laisha,,0,0,0,"( #TeamYamita ) Obama envía medios militares a África para luchar contra el virus del ébola: O... http://bit.ly/1rr0JVq Entra A eL Link",,,#TeamYamita,508765318840205312,https://twitter.com/weyy_laisha/status/508765318840205312
2014-09-07 23:54:38,ConsejoYama01,,0,0,0,"( #TeamYamita ) Obama envía medios militares a África para luchar contra el virus del ébola: O... http://bit.ly/1rr0JVq Entra A eL Link",,,#TeamYamita,508765315069538304,https://twitter.com/ConsejoYama01/status/508765315069538304
2014-09-07 23:54:35,MSGUBOT,,0,0,0,"G+ #ebola By Staff SAINT JOHN, N.B. – Jitters over the Ebola outbreak in West Africa were felt in Canada again... http://bit.ly/WC1N0v",,,#ebola,508765302533148672,https://twitter.com/MSGUBOT/status/508765302533148672
2014-09-07 23:54:34,MSGUBOT,,0,0,0,"G+ #ebola By Staff SAINT JOHN, N.B. – Jitters over the Ebola outbreak in West Africa were felt in Canada again... http://bit.ly/1w5AlHS",,,#ebola,508765300096262144,https://twitter.com/MSGUBOT/status/508765300096262144
