date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-11-13 23:57:55,jemerlia,Jeremy_Hunt,0,0,0,".@guardian People starve,cholera kills,of medicine there is none yet ammunition never runs out as the arms profits roll in. Your playing the humanitarian lends new meaning to hypocrisy. Other countries halted Saudi arms supplies-but #Tory allegiance is only to profit! Disgusting!",,@guardian,#Tory,1062494801138921472,https://twitter.com/jemerlia/status/1062494801138921472
2018-11-13 21:19:22,dennis20159,AhmadAlgohbary,0,0,0,"@Harry1T6 @EdKrassen @ProudResister @KyleKashuv @EdSkipper @KaivanShroff @dpakman @davidhogg111 this is happening while the UK and USA are backing the Saudis in their raids on Yemen. 40.000+ kids suffer SAM and/or cholera because their drinking water is poisoned @JoyAnnReid",,@Harry1T6 @EdKrassen @ProudResister @KyleKashuv @EdSkipper @KaivanShroff @dpakman @davidhogg111 @JoyAnnReid,,1062454902272729089,https://twitter.com/dennis20159/status/1062454902272729089
2018-11-13 21:15:10,mzm1375,UNICEF,0,1,6,"Killing women, killing children, shedding bombs on civilians, cholera, malnutrition are just some of the issues that the Yemeni people are involved with. Where do human rights organizations come from? Why have you been silent about this disaster? #Yemen ",,,#Yemen,1062453841889779712,https://twitter.com/mzm1375/status/1062453841889779712
2018-11-13 20:38:58,Barast135,,0,0,0,"Stories via @MercyCorps - One family&amp;acirc;&amp;#128;&amp;#153;s fight against cholera in #Yemen and more stories: http://bit.ly/2zgAEqj",,@mercycorps,#Yemen,1062444736026472449,https://twitter.com/Barast135/status/1062444736026472449
2018-11-13 20:04:54,carmelpilgrim,,0,0,0,"Yemen desperately needs help. Yemenis are facing the worst famine in a century and the worst outbreak of cholera ever known. PLEASE donate if you can. https://cafod.org.uk/Give/Donate-to-Emergencies/Yemen-Crisis-Appeal https://cafod.org.uk/Give/Donate-to-Emergencies/Yemen-Crisis-Appeal",,,,1062436162114072576,https://twitter.com/carmelpilgrim/status/1062436162114072576
2018-11-13 18:50:18,BinCoronavirus,,1,2,3,"At just 7 years old, Nehan is fighting for her life in a cholera isolation ward in the Mahweet province . The humanitarian crisis in #Yemen, caused by ongoing violent conflict, has left millions of families like Nehan’s hungry and vulnerable to disease. https://reliefweb.int/report/yemen/yemen-one-family-s-fight-against-cholera",,,#Yemen,1062417388652691458,https://twitter.com/BinCoronavirus/status/1062417388652691458
2018-11-13 18:31:35,RachelJ_Scott,,0,0,1,"Congratulations to @fergusmcbean of @DFID_UK for his civil service award on groundbreaking work to use weather forecasting and cholera risk modelling to better inform cholera prevention in #Yemen. Brilliant to see recognition for this! https://www.bbc.com/news/health-45259922",,@fergusmcbean @DFID_UK,#Yemen,1062412676477972481,https://twitter.com/RachelJ_Scott/status/1062412676477972481
2018-11-13 17:52:38,STOPIMPERIAL,,0,0,0,"Deaths from the War on Yemen Have Been Underestimated by 5 to 1 https://goo.gl/RCqnF3 #cholera #daily-digest #foreign-affairs #yemen",,,#cholera #daily #foreign #yemen,1062402875417153537,https://twitter.com/STOPIMPERIAL/status/1062402875417153537
2018-11-13 16:34:10,LSHTM_Alumni,,0,4,17,"Congratulations to @fergusmcbean MSc Public Health alumnus &amp; Humanitarian Advisor @DFID_UK on being awarded the @UKCivilService Use of Evidence Award for his work on #cholera prevention in Yemen. Read more on the alumni blog http://bit.ly/2zRlZRT",,@fergusmcbean @DFID_UK @UKCivilService,#cholera,1062383129502072838,https://twitter.com/LSHTM_Alumni/status/1062383129502072838
2018-11-13 15:58:05,JoeEEnglish,,1,8,3,"“There is no food, there is cholera, and children are continuing to die. We are failing the people and ourselves.” @Awad_Amin_ on #Yemen | via @ishaantharoor #ChildrenUnderAttack",,@Awad_Amin_ @ishaantharoor,#Yemen #ChildrenUnderAttack,1062374047546269696,https://twitter.com/JoeEEnglish/status/1062374047546269696
