date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-01 23:59:36,maryveronicaa,aarondrohan,1,0,0,"No he’s the one who said “what if we get Ebola” ",,,,1212523802409799680,https://twitter.com/maryveronicaa/status/1212523802409799680
2020-01-01 23:57:46,hamel1776,,0,0,0,"Government Admits New Ebola Vaccine Contains Live Ebola Virus! https://www.banned.video/watch?id=5e0d2b273536bd00169c31c5 #BannedVideo #Infowars #Health #Vaccines",,,#BannedVideo #Infowars #Health #Vaccines,1212523341891952641,https://twitter.com/hamel1776/status/1212523341891952641
2020-01-01 23:54:29,dalu_xo,IsmailPatel1977,0,0,0,"A parent told her daughter not to be friends with me cause I was from Africa and might have Ebola so....I’m not surprised",,,,1212522513982525445,https://twitter.com/dalu_xo/status/1212522513982525445
2020-01-01 23:52:56,maryveronicaa,aarondrohan,1,0,1,"Mans literally posted that he thought he would get Ebola when he went to Africa... he’s already proved that he would post dumb shit on him socials",,,,1212522122029027329,https://twitter.com/maryveronicaa/status/1212522122029027329
2020-01-01 23:52:36,KatLaRue7,WendyOrent,0,0,4,"They don’t understand transmission for Ebola and how unlikely an outbreak is in the US or many other countries. Because of how it’s transmitted, there is not likely to be any threat here. But since they are unable to understand how disease works, they panic",,,,1212522040999194624,https://twitter.com/KatLaRue7/status/1212522040999194624
2020-01-01 23:50:44,jaymiehu,jan_choutka,2,0,0,"Cuz viral got into tissues. Stomach biopsy shows enterovirus. Ebola found in eyes not in blood. OMF spent fucking time and money no wonder you did not find anything. They will spend millions making more devices and no one get FDA approves yet ! That’s significant progress. Really",,,,1212521569337036800,https://twitter.com/jaymiehu/status/1212521569337036800
2020-01-01 23:49:10,Kusuri_Bot_,,0,0,0,"tbh ebola is probably just another mononoke",,,,1212521175659626496,https://twitter.com/Kusuri_Bot_/status/1212521175659626496
2020-01-01 23:48:27,sranaya_ebola,,0,0,1,"Глозааа болятттттттт ыыыыыхххх",,,,1212520997246701568,https://twitter.com/sranaya_ebola/status/1212520997246701568
2020-01-01 23:47:06,WendyOrent,FollowingForFu2,1,0,4,"You absolutely will not need it unless you are planning to work with Ebola patients in Africa. Ebola, because of a host of cultural and infrastructure factors, will not spread in the US.",,,,1212520653720608768,https://twitter.com/WendyOrent/status/1212520653720608768
2020-01-01 23:43:47,TheAfricaMentor,,0,0,1,"#Africa starts 2020 battling extremism, Ebola and hunger Idaho Statesman http://twib.in/l/KxMj9xxGbkLz via @theafricamentor #africabiz #business",,@TheAfricaMentor,#Africa #africabiz #business,1212519821012807682,https://twitter.com/TheAfricaMentor/status/1212519821012807682
2020-01-01 23:41:42,UncleBobsReason,kevinforrester,0,0,3,"You gotta love hyperbole. Global warming, world war, ebola, hairy spiders.... nah, all less terrifying than my Grandpa Al having his J frame in his pocket.",,,,1212519295520890880,https://twitter.com/UncleBobsReason/status/1212519295520890880
2020-01-01 23:41:11,Palopil,ppmadrid,0,1,1,"Lo decís vosotros precisamente, que trajísteis el ébola a España.... A ver, panda de irresponsables, leed: ",,,,1212519166575546374,https://twitter.com/Palopil/status/1212519166575546374
2020-01-01 23:41:02,mymyssss,ParkBero,1,0,0,"¿Qué clase de catarro tienes? Familia del ébola?",,,,1212519129497972742,https://twitter.com/mymyssss/status/1212519129497972742
2020-01-01 23:40:00,CBS4Indy,,1,0,0,"The extremist violence that bookended 2019 continues to be a major concern in 2020. Meanwhile, the newly elected Congolese president has not achieved his goal of bringing the Ebola epidemic in the east of his country under control by the end of the year. ",,,,1212518867618193410,https://twitter.com/CBS4Indy/status/1212518867618193410
2020-01-01 23:32:36,A4rules,hazzlaaar,1,0,0,"Does that Ebola joke really have ur mind set that badly mama it’s embarrassing if there’s anything I don’t know about how he’s racist plz inform me local queen ",,,,1212517005473013761,https://twitter.com/A4rules/status/1212517005473013761
2020-01-01 23:31:57,susanbenton611,thehill,0,0,3,"When the U.S.,gives money to other nations we R not being taken advantage of.We give it for good reasons that benefit us. Like spending money in Africa to monitor ebola so it doesn’t come here &amp; kill ppl in America. So far it’s wrkd but T ended the prog.cause he doesn’t get it.",,,,1212516841366515713,https://twitter.com/susanbenton611/status/1212516841366515713
2020-01-01 23:30:38,Certitude177,,0,0,0,"CDC and FDA “tag-teaming” Ebola bioweapons psy-op to push dangerous vaccines as part of an Ebola outbreak mass theater operation ",,,,1212516511497240576,https://twitter.com/Certitude177/status/1212516511497240576
2020-01-01 23:22:22,sefora_22,,0,0,0,"I told my boss I might have a virus called Ebola. He said he’s going to terminate me ",,,,1212514429327179776,https://twitter.com/sefora_22/status/1212514429327179776
