date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-03-04 23:48:07,IreAndFire,DavidJHarrisJr,0,0,0,"Hey, wasn't there a state of emergency declared for Swine Flu declared by Obama? Hmmmm",,,,1102717386996703237,https://twitter.com/IreAndFire/status/1102717386996703237
2019-03-04 23:43:29,JayBrow69431904,piatt_betsy,0,0,0,"You do know that border security is the responsibility of the federal government don't you? Did you also know that Obama declared an emergency over the swine flu which was and still is less deadly than the regular flu? Obama's flu emergency was fake.",,,,1102716222611836929,https://twitter.com/JayBrow69431904/status/1102716222611836929
2019-03-04 23:42:33,dojozoldyck,WessWalker,1,1,1,"Man I had swine flu in 2009 lol shit was ass ",,,,1102715985813999617,https://twitter.com/dojozoldyck/status/1102715985813999617
2019-03-04 23:41:04,WessWalker,,1,3,6,"Survived the Swine Flu, Bird Flu, Anthrax, Mad Cow Disease era. I feel blessed.",,,,1102715612218998785,https://twitter.com/WessWalker/status/1102715612218998785
2019-03-04 23:28:27,nehahieghtz,,0,0,1,"I didn’t know people still got swine flu",,,,1102712439710404608,https://twitter.com/nehahieghtz/status/1102712439710404608
2019-03-04 23:25:00,mrdrmurph,,0,0,0,"Feels like swine flu",,,,1102711569883062274,https://twitter.com/mrdrmurph/status/1102711569883062274
2019-03-04 22:53:43,justacalistan,,1,1,4,"miss emma is making waves with her swine flu i-",,,,1102703698302517248,https://twitter.com/justacalistan/status/1102703698302517248
2019-03-04 22:51:01,sophiwithnoe,Dec_Carr90,1,0,0,"Might have been swine flu ahh more likely peasant flu I was in butlins at the weekend but was so ill had to come home early that's what ya get for mixing with those types",,,,1102703020138213376,https://twitter.com/sophiwithnoe/status/1102703020138213376
2019-03-04 22:45:09,Friday13curse,Kaimandante,0,0,1,"I used to not stress it then I got H1N1(swine flu) and it was so horrible, lasted weeks and I had to keep going to work and uni. since then I take it every year.",,,,1102701541683879938,https://twitter.com/Friday13curse/status/1102701541683879938
2019-03-04 22:43:00,raysontop,notangmon,1,0,1,"i agree! at the time i didn’t know it was swine flu, i found out after :)",,,,1102701001792925696,https://twitter.com/raysontop/status/1102701001792925696
2019-03-04 22:42:57,srelite_yeet,raysontop,0,0,0,"tglc stan being a fucking dumbass. you’d be locked up in a hospital until you died if u had swine flu ",,,,1102700987729379328,https://twitter.com/srelite_yeet/status/1102700987729379328
2019-03-04 22:42:12,notangmon,raysontop,1,0,1,"if you have something like swine flu PLEASE don’t compete at any competition. people like me whit weak immune systems can be affected horribly by your unintentional mistake. ",,,,1102700801192062976,https://twitter.com/notangmon/status/1102700801192062976
2019-03-04 22:38:31,nels_christian,Golfergirl2018,1,0,0,"CDC says .... sure. They also said the swine flu vaccine was safe.",,,,1102699871730057217,https://twitter.com/nels_christian/status/1102699871730057217
2019-03-04 22:34:32,AndrewFrisbie05,pensmetsteelers,1,0,0,"Ummmmm...No, numbnuts. Only 1 of his national emergencies had to do with domestic affairs...and that was the Swine Flu outbreak, which is an ACTUAL emergency, not the made up border wall nobody wants, except his administration.",,,,1102698869165576193,https://twitter.com/AndrewFrisbie05/status/1102698869165576193
2019-03-04 22:30:03,poandpo,,0,0,0,"Swine flu death toll reaches 19 in Georgia http://www.poandpo.com/in-sickness-and-health/swine-flu-death-toll-reaches-19-in-georgia-221201936.amp #health #people #medicine #patients #doctors #research #information #trending http://www.poandpo.com#Swine #Georgia",,,#health #people #medicine #patients #doctors #research #information #trending #Georgia,1102697741342392320,https://twitter.com/poandpo/status/1102697741342392320
2019-03-04 22:23:53,MelissaKester,MingGao26,0,1,0,"Russian swine flu.",,,,1102696192209694721,https://twitter.com/MelissaKester/status/1102696192209694721
2019-03-04 22:23:23,raysontop,calisting,0,0,1,"lol yes,, i didn’t know it was swine flu until after i competed tho i thought it was just like a bad cold and i was being a pussy",,,,1102696065973739521,https://twitter.com/raysontop/status/1102696065973739521
